Signature,CreatorWallet,LaunchTimestamp,InitialLiquidity,Buyers10s,Buyers30s,Buyers5m,MaxPriceAchievedPct,TimeAtMaxPriceSec,TradeResult,Profit_SOL,RunningTotal_SOL
33JjZufQzztGckUoWAAU5JELb1AqVRVVP95yxcfb5AfxKc4NstchrJ7ZkCTNn8yUSLnzXkv7nwU9FhavJ1uKvqXH,[object Object],2025-05-19T22:17:06.000Z,49,4,3,34,58,29,Skipped,0,0
3LxQU7Uj3zJ8f8hsGMKkD8YB6bUygszgk86nFtRcFd1Z8AGFM9o8Jnt6Xrq28LGrnB8ChoBRji25chJD9gtZwoeX,[object Object],2025-05-19T22:17:06.000Z,74,2,10,29,428,92,Skipped,0,0
4AQxggEHWWB4KLxkkx6w9kTxE9DMsDeorBxsX4vyaSErriFo7PCWeVgFCz9kEaW3KXXNuDUKKuDGRHVh4esJVKTq,[object Object],2025-05-19T22:17:06.000Z,46,5,10,46,210,202,Moonshot (Win),0.2,0.2
tPPWfXF4bdYf2cheZRki2Q7Hm2NAhxLpi4JmnqjHRKgdpA6NnBSK46YM3myhyUCQFSW4WNzybz2wuptLWK5veKq,[object Object],2025-05-19T22:17:06.000Z,87,9,17,63,95,157,Partial Exit (Win),0.05,0.25
5hH3hNWyDAZxy9NaVGKxRnMB7VnWiDrEmcyk6oFMVwLEyWPqeQub5ysUVE8eyZSWus9n29L6eQyJXMBMDnYKHV4e,[object Object],2025-05-19T22:17:06.000Z,74,8,18,76,4,169,Partial Exit (Win),0.05,0.3
4Bdpt3BpAFP344aP4gbtAeiUTXjB9YXQdpmN1M4C1oMUSpSvbVWzSK9epGAM4e9qgeJTVfYNyxWcwbiTQZXxY7ou,[object Object],2025-05-19T22:17:06.000Z,98,0,11,24,457,209,Skipped,0,0.3
3iqZAnNmjeQgZQLbdQpwvK95pGtnkwyT7EgSPam763KWfkejs7iHKw1JGkRuRJS7EdcocWquTh6dh5veqco57yoJ,[object Object],2025-05-19T22:17:06.000Z,83,5,9,72,14,131,Partial Exit (Win),0.05,0.35
2AC2k5GSqoyqN6oPH71uV7xLRnLGqG3Cu7X19dGAxvako6RYA1iemVv2fpTnjAc5svkQafGfX4aYVUWRtV4GzzWx,[object Object],2025-05-19T22:17:06.000Z,72,1,28,99,5,266,Skipped,0,0.35
2v21FLPs8kabz2H3GgyvwukrhmN662HPAjmFdQH5ygVBDMvJ3GHnMejJ5X5i8td46czxj1WdYKEc7tF3r8wbpSvF,[object Object],2025-05-19T22:17:06.000Z,87,1,14,6,345,191,Skipped,0,0.35
3DkLx6h8gzDiEZD6gzn4g16HwXegFouU7euqocRUBNhYSTtkxKR7TfVjJGrwJbtVk5TqDebGdgUaRTkroXZWW3Dn,[object Object],2025-05-19T22:17:06.000Z,39,5,13,0,453,223,Moonshot (Win),0.2,0.55
4DCsMKKmV9uViCs5ofE7CenktPgWfFySJ1ZbGmdqskGhWQfnGfrqxVYgXjRLHBxZvU9BGpp6yRD3YK7HGH8wwXEs,[object Object],2025-05-19T22:17:06.000Z,88,0,20,0,460,149,Skipped,0,0.55
3xn4ZodCFJVXAWjd4Y3yEXCjTfYmJz2AQ71S7zbDr7QHAdTWdfnBMHi3wqekemkZSrnE2PrGxKbtusv9BhtjAAuS,[object Object],2025-05-19T22:17:06.000Z,78,5,6,55,394,142,Partial Exit (Win),0.05,0.6000000000000001
3eEYQ7KQwZBtNM9CmTJafJpTYaJdYudxn1SespSzjuZEW2bgoTbAaPCYN2XqbbtEUbsvuLSwxkoFz1z9dSEMoU7N,[object Object],2025-05-19T22:17:06.000Z,46,2,22,82,125,235,Skipped,0,0.6000000000000001
