Signature,CreatorWallet,LaunchTimestamp,InitialLiquidity,Buyers10s,Buyers30s,Buyers5m,MaxPriceAchievedPct,TimeAtMaxPriceSec,TradeResult,Profit_SOL,RunningTotal_SOL
5M9MKqhBPh2nV5pf6NDZ4JhA9PCF1PNZUmDgGg54qWcaY13tJNpuVv4aaoi5YTyhJxdXwuhBBWNgBsvU4v9fDWDw,[object Object],2025-05-20T13:05:15.000Z,21,8,17,38,165,251,Partial Exit (Win),0.05,0.05
2R1xJkCuDNhSQgE3hempGYuMg6Fmrou66LKsbxhFAbfdAhKRCusXeVdH5n1z3Bn82aMWwe5C5bxx9NYXHGNTtrMe,[object Object],2025-05-20T13:05:15.000Z,87,0,16,53,382,238,Skipped,0,0.05
PhJhteELZ9sfigGefuZ6CXCatPHxVE7JAUCY1hHcy3MppxNSUhDDUUd2iajimo4QTMMGihqGbsUfWADHpjS1QnE,[object Object],2025-05-20T13:05:15.000Z,28,3,7,3,321,202,Skipped,0,0.05
3uAZfKsURkRodREPY2PgBKbHGFpWdnRYpYEFoKmZvHaonCjxzavgi1fbCaNAfuD2bMjHPa3AUwH1iupYABFRgzjZ,[object Object],2025-05-20T13:05:15.000Z,77,0,2,27,339,0,Skipped,0,0.05
2Ccug2FdrahY1V7eAx8Bvm5zjenWTCEvEgFrmawfcJbuSr9cEsBgQDDDBTc1RwpnMtRN2rdvXuqZyZs2zpeUgJa4,[object Object],2025-05-20T13:05:15.000Z,42,5,13,84,253,236,Moonshot (Win),0.2,0.25
4aTAeB9wECDiMzwF3BJmK71XQAcRxVGNAgHkjRDRyQu876iwpM1VBftatFHvQiguvoE6Pq8mFfpWMq9q7dKr7T5r,[object Object],2025-05-20T13:05:15.000Z,20,6,29,33,141,202,Partial Exit (Win),0.05,0.3
5m2skQcHfutivdZaj78ANAtPDfmcwfGanGKgv9p9wL2sCBtaV2ZxoxbKR25nDybVrE39yJrmtyhtZtiJEiVgcEvD,[object Object],2025-05-20T13:05:15.000Z,9,7,27,8,491,293,Moonshot (Win),0.2,0.5
5ByykHTggjmLofUafs3mDf2uVofTHjPjb8mhEWYKLDySZ3UBRgnMA6DDUr9u6rbkbsifCPmYsVVxq3RPXhK6c1cB,[object Object],2025-05-20T13:05:15.000Z,88,4,23,95,419,106,Skipped,0,0.5
3RXob18MN298usTPtGU3E21nTyW2o8cmMrry8f6PyGaefxjKhP8wHDaJmbT4ZaGRq8mYcVuxikcs9iEJoMDaKquT,[object Object],2025-05-20T13:05:15.000Z,43,7,20,9,309,169,Moonshot (Win),0.2,0.7
39RxLSnLvhvf3dETGY8f917Ai9aCZy7417bFTRfD5Lo2RC9KAdQu82qEVLCmFTUBnuY9LobA1LWawUV2Yjd1Sk7u,[object Object],2025-05-20T13:05:15.000Z,83,9,23,39,4,122,Partial Exit (Win),0.05,0.75
42g6XfA7FUUDvJ3MgBqq96igjRufCsMKrhxR3o8kWuPqiVhbrFfRSJ2mKxsMEthXv8XFiyzwb68jh3w9hUeGNrgs,[object Object],2025-05-20T13:05:15.000Z,4,5,17,6,297,265,Moonshot (Win),0.2,0.95
