Signature,CreatorWallet,LaunchTimestamp,InitialLiquidity,Buyers10s,Buyers30s,Buyers5m,MaxPriceAchievedPct,TimeAtMaxPriceSec,PriceDropFromPeakPct,TradeResult,Profit_SOL,RunningTotal_SOL
4Spm2JoZb3zxPV9pjfgnmTvDom1TgLJRUNLKUPYmd7Pj2gZu8vNkbmwEebNVpLuJY9AmVBhmtYunPMwCrJrezmAt,[object Object],2025-05-20T15:21:31.000Z,61,2,13,40,352,182,13,Skipped,0,0
3kPVvSwfmnybXjsnM5wepwg8hh9VnENV9fpPmdVHeaWpFxPKQ8TjADtvePmh125uRUYqYVpLxfXUpRkLJZmbkWhB,[object Object],2025-05-20T15:21:31.000Z,25,8,8,2,62,178,23,Partial Exit (Win),0.05,0.05
3agDEjcsZpXRNHSvxKTscTGGWCPmashbHDR8V6eYkv9VdJnBpKkcPvKNYgE1JazyXks8JEcqkwkwg5o3HAzs4y8R,[object Object],2025-05-20T15:21:31.000Z,24,0,9,27,138,228,38,Skipped,0,0.05
4BCUxfv2xgbBoZiAku5MFbnG8CaTZqMCqU752q9MZhmncEjxkXwVHZ3dYAJFbG5sbvyCVEyS73SNMgrmNa1qvYCZ,[object Object],2025-05-20T15:21:31.000Z,72,3,19,18,160,32,22,Skipped,0,0.05
5T1i4CyUmXAcbTrQx9991tytMivHh9L36rUXec9DzwhVvHjsqG5PdMxSwAL2JQW6VDbjGagWd6jbYGi5KpwCZtWL,[object Object],2025-05-20T15:21:31.000Z,28,9,6,60,471,213,12,Moonshot (Win),0.2,0.25
4KWTRRrwMBCjM5SQHmGN8gVmwrXFQgtsgqiDpLMi1dqv1XWyLFPFzELuqDvJXRAnk4GFtg5cZDJa7JBHu3xUMGhr,[object Object],2025-05-20T15:21:31.000Z,73,1,8,6,372,147,29,Skipped,0,0.25
414mLAweFWB3MKJTbrhMXi8v6n5NZ1d4vFULYMeR3RE3D4GV12jQaRzBDQNhrJPJQMkQBf4DYeGzthLXJPSqQna8,[object Object],2025-05-20T15:21:31.000Z,32,8,2,48,343,79,3,Partial Exit (Win),0.05,0.3
3JRypt9Nz6PEeteGgR8ACrNMVP2gxALp6ysUsZUXKMKnEvdENCHrAxQNfegLZEd8FYQRnbKz7Fvzv1qkxJqAMifr,[object Object],2025-05-20T15:21:31.000Z,7,1,0,81,359,142,1,Skipped,0,0.3
zFpjPzvfnmy79S15c3YG4dnwxdSZWuJA2G5km5vCuXQ5AQqs3DHxTqjDQztoXrx64oxEojiqrm47CdbetV6ME19,[object Object],2025-05-20T15:21:31.000Z,7,4,29,34,204,45,24,Skipped,0,0.3
5Ly4Dh9k3nFGN5tFCwBxhFaznPMS4H4u5A8LcQSkDEv5LDrn8yzZjQX4Ps2CConMizC8gv9MSLGiwSMzrZgCnppv,[object Object],2025-05-20T15:21:31.000Z,16,0,29,11,336,31,37,Skipped,0,0.3
5PXRgud8NYciK4iDWAvXszn4Z6tXLoTw49FTQYQd11Ks4eZ3YyoQR4RnL7XEpf8uG96PpiDhjaQ6VDDRWoQGHXgg,[object Object],2025-05-20T15:21:31.000Z,9,4,10,55,172,112,29,Skipped,0,0.3
5CzvtANxQMNkvdSgHbtDwXcwRgo4LgBCAmWefm9SCVjG1W7FtbdSvZCzbNY5rGphk3hqYTbAvRxEMM5f6aju9aDp,[object Object],2025-05-20T15:21:31.000Z,38,3,22,68,388,274,25,Skipped,0,0.3
4Gk6V9yH9WUu8fNUBn4AvmuCM6mBbSDmKSsfmVh6HucWJvcVYvnTskWJMahE5jJJTpSs97nXNxZktWvtxxB3svcy,[object Object],2025-05-20T15:21:31.000Z,92,0,29,65,329,280,11,Skipped,0,0.3
5JWVmTAsi1PdT7P6CouaM1vuDiNwkZNVLcFHPFYbcNJa4D2HjRSzPW4ny3C71W3DBD9e2Yx2Tz7ye5Nd1PTW1hX6,[object Object],2025-05-20T15:21:31.000Z,98,2,11,71,119,117,4,Skipped,0,0.3
